[OBJECTS]
38	40	0	97
38	40	7	97
38	40	14	97
38	40	21	97
38	40	28	97
38	40	35	97
38	40	42	97
38	40	49	97
38	40	56	97
38	40	63	97
38	40	70	97
38	40	77	97
38	40	84	97
38	40	174	97
38	40	181	97
38	40	188	97
38	40	195	97
38	40	202	97
38	40	209	97
38	40	216	97
38	40	223	97
38	40	230	97
38	40	237	97
38	40	244	97
38	40	251	97
38	40	258	97
38	40	265	97
38	40	272	97
38	15	91	96

#THANH
38	100	330	106
38	108	330	101
38	117	330	111
38	125	330	112
38	134	330	100
38	142	330	106

38	157	330	104
38	166	330	100

38	181	330	110
38	190	330	102
38	198	330	98
38	206	330	106
38	214	330	102

#QUYNH
38	100	350	110
38	109	350	109
38	117	350	98
38	125	350	106

38	140	350	102
38	148	350	111
38	156	350	112

38	171	350	108
38	179	350	111
38	187	350	112
38	196	350	106
38	204	350	102

#THANG
38	100	370	99
38	108	370	102
38	116	370	98
38	124	370	111

38	139	370	108
38	147	370	111
38	155	370	107
38	164	370	99

38	179	370	110
38	188	370	102
38	196	370	98
38	204	370	106
38	212	370	101

#QUY
38	100	390	106
38	108	390	101
38	117	390	111
38	125	390	112
38	134	390	100
38	142	390	106

38	157	390	102
38	165	390	111
38	173	390	111

38	188	390	105
38	196	390	103
38	204	390	106
38	212	390	102

38	227	390	108
38	235	390	111
38	243	390	112
