# Id	FilePath		R	G	B
[TEXTURES]
1	Textures/item.png	255	255	0
10	Textures/sophia_die.png	176	0	248
20	Textures/misc.png	176	224	0
30	Textures/car.png	255	0	255
40	Textures/enemies.png	255	0	255
41	Textures/bosses.png	255	0	255
50	Textures/map2.png	255	255	255
60	Textures/jason.png	255	0	255
70	Textures/HealthBar.png	255	255	0
80	Textures/Health.png	255	255	0
90	Textures/enemies-1.png	255	0	255
-100	Textures/bbox.png	255	255	255
5	Textures/title-1.png	255	255	255
6	Textures/title.png	255	255	255
7	Textures/intro-1.png	255	255	255
8	Textures/den.png	255	255	255
9	Textures/intro-2.png	255	255	255
100	Textures/Endgame.png	255	255	255
101	Textures/Endgame2.png	255	255	255
102	Textures/Endgame31.png	255	255	255
# id	left	top	right	bottom	texture_id
[MAP]
50	2048	2048
[SPRITES]
0	0	0	0	0	-100
#=========== SMALL JASON =============
#stand right
1000	141	3	151	20	60
#stand left
1010	121	3	131	20	60
#move right
1100	154	4	164	20	60
1101	167	4	177	20	60
1102	180	3	190	20	60
#move left
1110	108	4	118	20	60
1111	95	4	105	20	60
1112	82	3	92	20	60
#climb
1200	193	4	205	20	60
1210	67	4	79	20	60
#crawl right
1300	207	10	223	20	60
1301	223	10	239	20	60
#crawl left
1310	49	10	65	20	60
1311	33	10	49	20	60
#dead right
1400	141	23	155	39	60
1401	158	25	174	39	60
1402	177	23	191	39	60
1403	195	25	211	39	60
1404	213	29	229	39	60
#dead left
1410	117	23	134	39	60	
1411	98	25	114	39	60
1412	81	23	95	39	60
1413	61	25	77	39	60
1414	43	29	59	39	60
#
## BIG JASON ##
#Big jason stand right + left + up + down
2000	141	77	165	109	60
2001	107	77	131	109	60
2002	88	42	108	74	60
2003	164	42	184	74	60
#big jason move right
2100	171	78	195	109	60
2101	199	78	223	109	60
#big jason move left
2110	77	78	101	109	60
2111	49	78	73	109	60
#big jason move up
2200	114	43	134	74	60
2201	62	43	82	74	60
#big jason move down
2210	188	43	208	74	60
2211	139	43	159	74	60
# big jason dead
2300	82	112	106	141	60
2301	110	112	133	141	60
2302	137	112	161	141	60
2303	165	112	189	141	60
#
## SOPHIA ##
# car	state	right	wheel
#  5	  00	  0	  0
# stand + moving right
50000	146	5	172	23	30
50001	178	5	204	23	30
50002	211	5	237	23	30
50003	242	5	268	23	30
# crouch right
50100	146	30	172	47	30
50101	178	30	204	47	30
50102	211	30	237	47	30
50103	243	30	269	47	30
# down + falling right
50200	146 	56 	172 	72 	30
50201	177 	56 	203 	72 	30
50202	211 	56 	237	72 	30
50203	243 	56 	269 	72 	30
# stand + moving left
50010	109	5	135	23	30
50011	77	5	103	23	30
50012	44	5	70	23	30
50013	12	5	39	23	30
# crouch left
50110	109	30	135	47	30
50111	77	30	103	47	30
50112	45	30	71	47	30
50113	12	30	38	47	30
# down + falling left
50210	109 	56 	135 	72 	30
50211	78 	56 	104 	72	30
50212	44 	56 	70 	72 	30
50213	12 	56 	38 	72 	30
# turn right
50300	146	80	170	98	30
50301	179	80	203	98	30
50302	211 	80	235	98	30
50303	244	80	268	98	30
#turn left
50310	111	80	135	98	30
50311	77	80	101	98	30
50312	45	80	69	98	30
50313	12	80	36	98	30
#turn right down
51300	146	106	170	123	30
51301	179	106	203	123	30
51302	211	106	235	123	30
51303	246	106	270	123	30
#turn left down
51310	111	106	135	123	30
51311	78	106	102	123	30
51312	46	106	70	123	30
51313	11	106	35	123	30
#jump up turn right
50400	146	157	170	178	30
50401	177	157	201	178	30
50402	210	157	234	178	30
50403	244	157	268	178	30
#jump up turn left
50410	111	157	135	178	30
50411	80	157	104	178	30
50412	47	157	71	178	30
50413	13	157	37	178	30
#jump up right + moving
50500	146	130	172	151	30
50501	178	130	204	151	30
50502	211	130	237	151	30
50503	245	130	271	151	30
#jump up left + moving
50510	109	130	135	151	30
50511	77	130	103	151	30
50512	44	130	70	151	30
50513	10	130	39	151	30
# upward right 1 + moving + jumping
50600	146	179	171	213	30
50601	176	179	201	213	30
50602	209	179	234	213	30
50603	243	179	268	213	30
#upward left 1 + moving + jumping
50610	110	179	135	213	30
50611	80	179	105	213	30
50612	47 	179	72	213	30
50613	13 	179	38	213	30
#upward right 2 + moving + jumping
50700	146	212	171	246	30
50701	176	212	201	246	30
50702	209	212	234	246	30
50703	244	212	269	246	30
#upward left 2 + moving + jumping
50710	110	212	135	246	30
50711	80	212	105	246	30
50712	47	212	72	246	30
50713	13	212	38	246	30
#upward right 3 + moving + jumping
50800	146	246	171	284	30	
50801	174	246	199	284	30	
50802	207	246	232	284	30
50803	242	246	267	284	30
#upward left 3 + moving + jumping
50810	110	246	135	284	30
50811	82	246	105	284	30
50812	49	246	74	284	30
50813	14	246	39	284	30
#upward right 4 + moving + jumping 
50900	146	283	172	317	30
50901	176	283	202	317	30
50902	207	283	233	317	30
50903	242	283	268	317	30
#upward left 4 + moving + jumping
50910	109 	283 	135 	317	30
50911	79 	283 	105 	317 	30
50912	48 	283 	74	317 	30
50913	13 	283 	39	317	30
# die 
51000	100	78	143	125	10
51001	12	85	76	132	10
# open right
51100	105	334	131	360	30
# open left
51110	74	334	100	360	30
##==============BULLET===================
#small bullet jason right, left, top
20001	240	68	248	74	1
20002	241	110	249	116	1
20003	241	89	247	97	1
#big bullet jason right, left, top
20004	73	200	95	206	1
20005	114	200	136	206	1
20006	241	38	247	60	1
#bang
20007	176	94	183	102	1
20008	192	91	208	104	1
20009	213	90	229	106	1
#electric bullet jason 
20010	3	111	18	127	1
20011	3	132	18	148	1
20012	7	153	14	168	1
20013	6	174	17	190	1
#small sophia bullet
20020	135	180	139	184	1
#big jason bullet
20021	215	199	225	207	1
20022	215	159	225	167	1
20023	216	178	224	188	1
20024	175	198	183	208	1
#big jason bullet explose
20025	42	155	60	173	10
20026	78	155	96	173	10
20027	114	155	132	173	10
#big jason grenade
20030	241	129	249	140	1
#big jason grenade explose
20031	236	155	255	172	1
#White bullet
#right
20040	189	514	199	524	40
#left
20041	47	514	57	524	40
#Red bullet
20042	248	92	256	100	90
#Boss bullet
20043	413	125	420	132	41
##
# Brick
40001	408	225	424	241	20
# Health Bar + Health
80000	0	0	8	48	70
80001	0	0	6	3	80
80002	112	237	120	253	1
# Item
30000	87	237	103	253	1
30001	66	237	82	253	1
30002	45	237	61	253	1
30003	24	237	40	253	1
30004	3	237	19	253	1
##============ENEMY======================
#ORB
#walk left
70011	74	386	92	404	40
#walk right
70015	154	386	172	404	40
#turn
70012	134	386	152	404	40
70013	114	386	132	404	40
70014	94	386	112	404	40
#WORM
#right
70051	186	411	204	421	40
70052	168	411	186	421	40
#left
70053	42	411	60	421	40
70054	60	411	78	421	40
#FLOATER
#walking right
70061	148	406	166	421	40
70062	128	405	146	421	40
#walking left
70063	80	406	98	421	40
70064	100	405	118	421	40
#SKULL
#right
70041	190	529	208	547	40	
70042	170	526	188	547	40
#left
70043	38	529	56	547	40
70044	58	526	76	547	40
#JUMPER
#right
70021	164	498	181	524	40
70022	146	498	163	524	40
70023	128	498	145	524	40
#left
70024	65	498	82	524	40
70025	81	498	98	524	40
70026	101	498	118	524	40
#INSECT
#right
70031	148	529	166	547	40
70032	128	529	146	547	40
#left
70033	80	529	98	547	40
70034	100	529	118	547	40
#DOME
#right
70071	46	440	63	458	40
70072	46	460	63	478	40
#bottom
70073	63	422	81	440	40
70074	83	422	101	440	40
#left
70075	101	460	117	478	40
70076	101	440	118	458	40
#top
70077	83	478	101	495	40
70078	63	478	81	494	40
#MINE
#idle
70081	363	211	379	221	90
#CANNONS
690001	37	604	63	630	40
690002	64	602	90	628	40
690003	92	602	118	628	40
########
##TELEPORTERS
#tuong
690011	67	567	91	599	40
#xanh
690012	94	567	118	599	40
## EYEBALLS
#MAT NHIN TRAI
690021	98	549	114	565	40
#MAT NHAM
690022	115	549	131	565	40
#MAT NHIN PHAI
690023	132	549	148	565	40
###FIREBALL
690031	210	304	218	312	40
# ==========================BOSS ==============================
#body
71000	7	116	67	182	41
71001	87	116	147	182	41
71002	167	116	227	182	41
71003	247	117	307	182	41
#canh tay
71010	329	120	345	137	41
71011	369	120	385	137	41
#ban tay trai
71012	328	153	346	185	41
#ban tay phai
71013	368	153	386	185	41
#bullet
71015	413	125	420	132	41
########################### INTRO ###################
#Intro
90501	0	0	256	234	5
90502	0	0	256	234	6

90001	809	0	1076	234	7
90002	540	0	807	234	7
90003	270	0	537	234	7
90004	0	0	267	234	7
90011	809	236	1076	470	7
90012	540	236	806	470	7
90013	270	236	536	470	7
90014	0	236	267	470	7
90021	809	473	1076	707	7
90022	540	473	806	707	7
90023	270	473	536	707	7
90024	0	473	267	707	7
90031	809	709	1076	943	7
90032	540	709	806	943	7
90033	270	709	536	943	7
90034	0	709	267	943	7
90035	0	946	267	1180	7
90036	270	946	536	1180	7
90037	540	946	806	1180	7
90038	809	946	1076	1180	7
90039	0	1182	267	1416	7
90041	809	1182	1076	1416	7
90042	540	1182	806	1416	7
90043	270	1182	536	1416	7
90044	0	1419	267	1653	7
90051	270	1419	536	1653	7
90052	540	1419	806	1653	7
90053	809	1419	1076	1653	7
90054	0	1655	267	1889	7
90061	270	1655	536	1889	7
90062	540	1655	806	1889	7
90063	809	1655	1076	1889	7
90064	0	1892	267	2126	7
90071	270	1892	536	2126	7
90072	540	1892	806	2126	7
90073	809	1892	1076	2126	7
90074	0	2128	267	2362	7

90101	0	0	256	234	9
90102	259	0	515	234	9
90201	518	0	774	234	9
90202	0	227	256	461	9
90203	259	227	515	461	9
90204	518	227	774	461	9
90205	0	454	256	688	9
90206	259	454	515	688	9
90207	518	454	774	688	9
90208	0	681	256	915	9

90999	0	0	267	234	8
################################### ENDSCENE ###########
#Endgame
99001	2	2	532	234	100

99011	484	237	498	252	100
99012	501	237	516	252	100
99013	519	237	533	252	100

99101	0	0	300	142	101
99102	0	1	300	91	102

99201	0	1	300	143	101
99202	0	2	300	92	102

99099	36	249	61	272	100

99301	198	307	265	390	100
99302	266	383	283	390	100

#A
99401	123	248	131	256	100
#C
99402	142	248	150	256	100
#E
99403	161	248	169	256	100
#G
99404	179	248	187	256	100
#H
99405	189	248	197	256	100
#I
99406	198	248	206	256	100
#L
99407	226	248	235	256	100
#M
99408	236	248	244	256	100
#N
99409	245	248	253	256	100
#O
99410	254	248	262	256	100
#Q
99411	273	248	281	256	100
#R
99412	283	248	291	256	100
#T
99413	301	248	309	256	100
#U
99414	311	248	319	256	100
#Y
99415	348	248	356	256	100
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#idle right
500	50000	100	50001	100	50002	100	50003	100
#idle left
501	50010	100	50011	100	50012	100	50013	100
#moving right 
510	50000	30	50001	30	50002	30	50003	30	50100	30	50101	30	50102	30	50103	30
#moving left 
511	50010	30	50011	30	50012	30	50013	30	50110	30	50111	30	50112	30	50113	30
##JUMP
# jumping right + moving
520	50500	30	50501	30	50502	30	50503	30
# jumping left + moving
521	50510	30	50511	30	50512	30	50513	30
# falling right + moving
530	50200	30	50201	30	50202	30	50203	30
# falling left	+ moving
531	50210	30	50211	30	50212	30	50213	30
#Upward
#Upward right moving 
540	50900	40	50901	40	50902	40	50903	40
#Upward left moving
541	50910	40	50911	40	50912	40	50913	40
##GUN FLIP IDLE
#upward right 0
550	50600	100	50700	100	50800	100	50900	999999999
#upward right 1
551	50601	100	50701	100	50801	100	50901	999999999
#upward  right 2
552	50602	100	50702	100	50802	100	50902	999999999
#upward  right 3
553	50603	100	50703	100	50803	100	50903	999999999
#upward  left 0
560	50610	100	50710	100	50810	100	50910	999999999
#upward left 1
561	50611	100	50711	100	50811	100	50911	999999999
#upward left 2
562	50612	100	50712	100	50812	100	50912	999999999
#upward  left 3
563	50613	100	50713	100	50813	100	50913	999999999
# TURN
#turn 0
570	50300	40	51300	40	51313	40	50313	40
#turn 1
571	50301	40	51301	40	51312	40	50312	40
#turn 2
572	50302	40	51302	40	51311	40	50311	40
#turn 3
573	50303	40	51303	40	51310	40	50310	40
