[MAP]
50	2048	2048
[OBJECTS]
#FLOATER
20	7	70
20	10	72
20	14	70
#DOME
#23	19	69	66
#JUMPER
25	2	59
#INSECT
26	21	46
26	24	29
#ORB2
27	2	20
27	21	20
27	7	20
# BRICK
# SCENE 2.2
#group1
6	1	3	1	76
6	30	3	1	5
6	30	10	1	69
6	1	3	29	1
6	2	10	8	2
6	6	6	16	2
6	26	6	4	2
6	22	10	8	2
6	6	14	24	2
6	2	18	20	2
6	16	8	2	6
6	22	22	4	2
6	6	26	16	2
6	2	30	4	2
6	2	34	12	2
6	18	34	8	2
6	26	38	4	2
6	6	42	20	2
6	2	46	4	2
6	16	44	2	6
6	26	46	4	2
6	6	50	4	2
6	14	50	12	2
6	2	54	12	2
6	20	52	2	6
6	26	54	4	2
6	10	58	16	2
6	2	62	8	2
6	16	60	2	6
6	26	62	4	2
6	6	66	20	2
6	2	70	4	2
6	20	68	2	6
6	26	70	4	2
6	2	74	8	2
6	14	74	16	2
6	2	78	28	1
##
# --- SCENE PORTAL ----
7	3	72	1	2	1
7	28	8	8	2	3
