[MAP]
50	2048	2048
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = PLAYER , 1 = SOPHIA, 2 = JASON, 5 = BRICK
#WORM
19	73.5	66
19	77.5	66
19	93.5	66
19	117.5	66
19	121.5	66
#FLOATER
20	101	67
20	115	69
20	121	68
#DOME
23	89.2	67	66
23	82	72.8	68
# BRICK
# SCENE 2.1
6	63	65	1	13
6	64	65	62	1
6	125	66	1	5
6	64	78	18	1
6	64	74	20	1
6	81	75	1	4
6	88	74	8	1
6	89	75	1	4
6	93	75	1	4
6	100	74	8	1
6	101	75	1	4
6	105	75	1	4
6	112	74	13	1
6	113	75	1	4
#up
6	67	66	2	2
6	71	66	2	3
6	75	66	2	2
6	79	66	2	5
6	83	66	2	3
6	87	66	2	2
6	91	66	2	2
6	95	66	2	3
6	99	66	2	2
6	103	66	2	5
6	107	66	2	2
6	111	66	2	2
6	115	66	2	3
6	119	66	2	5
#
##Damage Brick
16	82	78	7	1
16	94	78	7	1
16	106	78	7	1
##
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#SCENE	2.1
7	124	71	2	3	2
